"Comment","Designator","Footprint","LCSC Part #"
"50mA","F10","Fuse:Fuse_0603_1608Metric","C369141"
"470R@100MHz","L1","Inductor_SMD:L_0603_1608Metric","C97853"
"470R@100MHz","L2","Inductor_SMD:L_0603_1608Metric","C97853"
"Module-power_12and5V-0.2","M1","hellen-one-power_12and5V-0.2:power_12and5V",""
"Module-knock-0.2","M2","hellen-one-knock-0.2:knock",""
"Module-vr-max9924-0.1","M4","hellen-one-vr-max9924-0.1:vr-max9924",""
"MPXH6400A","MAP1","hellen-one-common:MPXH6400A-SSOP8","C511770"
"Module:mega-mcu100/0.3","MCU1","hellen-one-mega-mcu100-0.3:mega-mcu100",""
"33k","R2","hellen-one-common:R0603","C4216"
"6.8k","R3","hellen-one-common:R0603","C23212"
"Jumper-Pad-Pad","R4","hellen-one-common:PAD-0805-PAD","C17477"
"10k","R5","hellen-one-common:R0805","C17414"
"0","R6","hellen-one-common:R0603","C21189"
"10k","R7","hellen-one-common:R0805","C17414"
"10k","R8","hellen-one-common:R0805","C17414"
"4.7k","R9","hellen-one-common:R0603","C23162"
"4.7k","R10","hellen-one-common:R0603","C23162"
"4.7k","R11","hellen-one-common:R0603","C23162"
"4.7k","R12","hellen-one-common:R0603","C23162"
"4.7k","R13","hellen-one-common:R0603","C23162"
"4.7k","R14","hellen-one-common:R0603","C23162"
"4.7k","R15","hellen-one-common:R0603","C23162"
"4.7k","R16","hellen-one-common:R0603","C23162"
"0","R20","hellen-one-common:R0603","C21189"
"0","R21","hellen-one-common:R0603","C21189"
"0","R22","hellen-one-common:R0603","C21189"
"0","R26","hellen-one-common:R0603","C21189"
"0","R27","hellen-one-common:R0603","C21189"
"0","R28","hellen-one-common:R0603","C21189"
"4.7k","R29","hellen-one-common:R0603","C23162"
"4.7k","R30","hellen-one-common:R0603","C23162"
"4.7k","R31","hellen-one-common:R0603","C23162"
"4.7k","R32","hellen-one-common:R0603","C23162"
"4.7k","R33","hellen-one-common:R0603","C23162"
"4.7k","R34","hellen-one-common:R0603","C23162"
"Conn_02x20_Counter_Clockwise","SAGSOKET1","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C19630948"
"Conn_02x20_Counter_Clockwise","SOLSOKET1","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C19630948"
"TLE9201SG","U1","Package_SO:Infineon_PG-DSO-12-11","C112633"
"TLE9201SG","U2","Package_SO:Infineon_PG-DSO-12-11","C112633"
"MAX31855KASA","U4","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C52028"
"VNLD5160TR-E","U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U7","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U9","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U10","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U11","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"Conn_01x04_Pin","USB1","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C265289"
